timestamp,metric,original_chars,simplified_chars,reduction_pct,tokens_saved_estimate
2026-04-22T08:50:23-03:00,simplify,166,0,100,42
2026-04-22T08:50:36-03:00,simplify,158,138,12.7,5
2026-04-22T08:52:00-03:00,simplify,158,138,12.7,5
2026-04-22T08:52:05-03:00,simplify,85,66,22.4,5
2026-04-22T08:52:11-03:00,simplify,67,57,14.9,2
2026-04-22T08:56:34-03:00,simplify,43,0,100,11
2026-04-22T08:59:10-03:00,simplify,43,40,7,1
2026-04-22T09:00:17-03:00,simplify,99,79,20.2,5
2026-04-22T09:00:23-03:00,simplify,100,80,20,5
